      Type       |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section         | MM dependency         |   N/A    | 0000003A | FB0CBC42 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00001004 | DE334CAC | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 00003842 | 4033629B | ------- 8F1A65CF-1D27-4354-9F77-4DB764471B4A
 Section         | MM dependency         |   N/A    | 00000016 | 4B9CA79D | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00003804 | 99B4C61F | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 00003C42 | F5BC216E | ------- B737F624-1A8C-40C7-B9AB-5572F9E86331
 Section         | MM dependency         |   N/A    | 00000016 | 1CD68434 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00003C04 | 6D69DDF8 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 00003076 | 50B0BF15 | ------- F44875AB-B9FC-4578-A280-AA335B49967C
 Section         | MM dependency         |   N/A    | 0000004C | 0B90C470 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00003004 | A299128A | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 00001476 | 9360D0C6 | ------- 6C289241-E240-483F-9E3E-872C0396B599
 Section         | MM dependency         |   N/A    | 0000004C | CB491036 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00001404 | C335CD69 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 4C4F5494 | -------- Version section
 File            | SMM module            |   N/A    | 0000389A | 6590CCCC | ------- 8E61FD6B-7A8B-404F-B83F-AA90A47CABDF
 Section         | MM dependency         |   N/A    | 00000070 | 62026E99 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00003804 | D4AEE2D7 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 0000428A | 6B3D4E78 | ------- 316B1230-0500-4592-8C09-EABA0FB6B07F
 Section         | MM dependency         |   N/A    | 0000005E | A848090A | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00004204 | 2BEC2446 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 00003C76 | AA8717F6 | ------- E5E2C9D9-5BF5-497E-8860-94F81A09ADE0
 Section         | MM dependency         |   N/A    | 0000004C | 0B90C470 | -------- MM dependency section
